#,RA,Dec,image_nb,ccd,X,Y,CaHK_uncalib,d_CaHK,flag,Xg,Yg,run,FOV_corr,CaHK_calib
250.76429167,44.59938056,2654,1,163.34,1890.46,25.997,0.013,0,1884.7,1890.5,,17Am05,,
250.88741667,44.57348056,2654,1,1877.76,2376.68,25.999,0.013,0,170.2,2376.7,,17Am05,,
250.82247917,44.55864444,2654,1,970.02,2677.07,26.004,0.013,0,1078.0,2677.1,,17Am05,,
250.77665833,44.69201944,2654,1,346.38,73.79,26.006,0.013,0,1701.6,73.8,,17Am05,,
250.78256667,44.61354722,2654,1,419.16,1610.89,26.009,0.013,-1,1628.8,1610.9,,17Am05,,
250.79130833,44.64637222,2654,1,544.57,966.94,26.018,0.013,0,1503.4,966.9,,17Am05,,
250.83125,44.676275,2654,1,1105.06,373.27,26.036,0.013,0,942.9,373.3,,17Am05,,
250.81397917,44.69223611,2654,1,866.36,62.92,26.037,0.013,0,1181.6,62.9,,17Am05,,
250.7557125,44.63934444,2654,1,48.3,1110.13,26.063,0.013,0,1999.7,1110.1,,17Am05,,
250.75327083,44.53890556,2654,1,4.36,3071.32,26.067,0.013,0,2043.6,3071.3,,17Am05,,
250.83035417,44.60352778,2654,1,1083.98,1799.08,26.068,0.013,0,964.0,1799.1,,17Am05,,
250.75304167,44.56145278,2654,1,3.22,2632.08,26.068,0.013,0,2044.8,2632.1,,17Am05,,
250.8889,44.62731389,2654,1,1904.27,1322.91,26.073,0.013,-1,143.7,1322.9,,17Am05,,
250.85418333,44.64253333,2654,1,1420.79,1031.09,26.075,0.013,0,627.2,1031.1,,17Am05,,
250.76237083,44.51497778,2654,1,129.09,3536.0,26.147,0.014,0,1918.9,3536.0,,17Am05,,
250.89122917,44.53656111,2654,1,1928.18,3096.87,26.157,0.014,0,119.8,3096.9,,17Am05,,
250.8106125,44.54323333,2654,1,803.06,2979.35,26.161,0.014,0,1244.9,2979.4,,17Am05,,
250.882375,44.51821111,2654,1,1803.07,3456.12,26.161,0.014,0,244.9,3456.1,,17Am05,,
250.81370417,44.5155,2654,1,844.01,3519.22,26.169,0.014,0,1204.0,3519.2,,17Am05,,
250.80822083,44.57585,2654,1,772.75,2343.4,26.184,0.014,0,1275.2,2343.4,,17Am05,,
250.83870417,44.61700556,2654,1,1202.04,1533.98,26.185,0.014,0,846.0,1534.0,,17Am05,,
250.769875,44.49628056,2654,1,232.35,3898.67,26.201,0.015,0,1815.7,3898.7,,17Am05,,
250.83888333,44.47754722,2654,1,1193.02,4254.16,26.214,0.015,0,855.0,4254.2,,17Am05,,
250.77905417,44.51183889,2654,1,361.17,3594.98,26.22,0.015,0,1686.8,3595.0,,17Am05,,
250.8276375,44.49750833,2654,1,1037.5,3867.42,26.234,0.015,0,1010.5,3867.4,,17Am05,,
250.83338333,44.66085,2654,1,1132.82,675.71,26.261,0.015,0,915.2,675.7,,17Am05,,
250.77207083,44.64971667,2654,1,276.8,904.48,26.272,0.015,-1,1771.2,904.5,,17Am05,,
250.75470417,44.51116389,2654,1,22.41,3611.08,26.274,0.015,0,2025.6,3611.1,,17Am05,,
250.78557917,44.69291667,2654,1,470.52,54.65,26.279,0.015,0,1577.5,54.7,,17Am05,,
250.80965,44.67345556,2654,1,803.32,432.65,26.28,0.015,0,1244.7,432.6,,17Am05,,
250.86857083,44.6424,2654,1,1621.88,1031.04,26.28,0.015,0,426.1,1031.0,,17Am05,,
250.80890417,44.48415,2654,1,775.36,4129.74,26.284,0.015,0,1272.6,4129.7,,17Am05,,
250.77202083,44.47422778,2654,1,261.04,4327.08,26.297,0.015,0,1787.0,4327.1,,17Am05,,
250.84900833,44.64586389,2654,1,1349.09,966.79,26.325,0.016,0,698.9,966.8,,17Am05,,
250.8234375,44.67295,2654,1,995.63,440.05,26.329,0.016,0,1052.4,440.0,,17Am05,,
250.86717083,44.63212222,2654,1,1600.83,1232.79,26.339,0.016,0,447.2,1232.8,,17Am05,,
250.770525,44.64633611,2654,1,255.12,970.92,26.343,0.016,0,1792.9,970.9,,17Am05,,
250.86736667,44.63269167,2654,1,1603.95,1221.66,26.348,0.016,0,444.1,1221.7,,17Am05,,
250.84366667,44.46240556,2654,1,1258.98,4547.86,26.361,0.016,0,789.0,4547.9,,17Am05,,
250.8651375,44.609575,2654,1,1570.1,1674.78,26.363,0.016,0,477.9,1674.8,,17Am05,,
250.8713875,44.60770833,2654,1,1657.31,1710.24,26.369,0.016,0,390.7,1710.2,,17Am05,,
250.83885,44.47773889,2654,1,1192.64,4250.51,26.377,0.016,0,855.4,4250.5,,17Am05,,
250.7799625,44.64769167,2654,1,386.47,942.91,26.386,0.016,0,1661.5,942.9,,17Am05,,
250.78772917,44.652075,2654,1,495.4,855.75,26.387,0.016,0,1552.6,855.8,,17Am05,,
250.84497083,44.46224444,2654,1,1277.28,4550.9,26.395,0.016,0,770.7,4550.9,,17Am05,,
250.84007083,44.52643611,2654,1,1212.9,3302.4,26.395,0.016,0,835.1,3302.4,,17Am05,,
250.8349125,44.66546111,2654,1,1154.74,584.99,26.405,0.016,0,893.3,585.0,,17Am05,,
250.80470417,44.62675278,2654,1,728.82,1349.08,26.408,0.016,0,1319.2,1349.1,,17Am05,,
250.75379167,44.54326944,2654,1,11.93,2986.36,26.417,0.017,0,2036.1,2986.4,,17Am05,,
250.7924625,44.52761667,2654,1,549.1,3286.07,26.433,0.017,0,1498.9,3286.1,,17Am05,,
250.81425833,44.52357778,2654,1,852.59,3361.83,26.45,0.017,0,1195.4,3361.8,,17Am05,,
250.7799,44.51173611,2654,1,372.95,3596.91,26.458,0.017,0,1675.1,3596.9,,17Am05,,
250.78142917,44.61714722,2654,1,403.57,1540.53,26.469,0.017,0,1644.4,1540.5,,17Am05,,
250.82342083,44.59720556,2654,1,986.56,1923.95,26.49,0.017,0,1061.4,1923.9,,17Am05,,
250.8168125,44.58235556,2654,1,892.93,2215.11,26.506,0.017,0,1155.1,2215.1,,17Am05,,
250.84734583,44.47684444,2654,1,1311.21,4266.68,26.512,0.018,0,736.8,4266.7,,17Am05,,
250.89550833,44.59318056,2654,1,1993.12,1989.96,26.514,0.017,-1,54.9,1990.0,,17Am05,,
250.86388333,44.473675,2654,1,1541.91,4326.0,26.522,0.018,0,506.1,4326.0,,17Am05,,
250.824625,44.51645833,2654,1,996.46,3498.98,26.524,0.018,0,1051.5,3499.0,,17Am05,,
250.75940833,44.59473056,2654,1,94.85,1981.92,26.546,0.018,0,1953.2,1981.9,,17Am05,,
250.83417917,44.55320833,2654,1,1132.65,2781.41,26.553,0.018,0,915.3,2781.4,,17Am05,,
250.84874583,44.67571667,2654,1,1349.02,380.93,26.57,0.018,0,699.0,380.9,,17Am05,,
250.79295417,44.611475,2654,1,563.51,1649.74,26.582,0.018,0,1484.5,1649.7,,17Am05,,
250.79112917,44.47276111,2654,1,526.88,4353.27,26.602,0.019,0,1521.1,4353.3,,17Am05,,
250.860675,44.50630556,2654,1,1499.13,3691.39,26.604,0.019,-1,548.9,3691.4,,17Am05,,
250.84921667,44.64566944,2654,1,1351.73,970.64,26.619,0.019,0,696.3,970.6,,17Am05,,
250.8602875,44.48736667,2654,1,1492.26,4060.22,26.624,0.019,-1,555.7,4060.2,,17Am05,,
250.89376667,44.6093,2654,1,1970.31,1674.84,26.627,0.019,0,77.7,1674.8,,17Am05,,
250.77525833,44.51940556,2654,1,308.85,3448.26,26.627,0.019,0,1739.2,3448.3,,17Am05,,
250.82282083,44.58889444,2654,1,977.36,2086.52,26.638,0.019,0,1070.6,2086.5,,17Am05,,
250.8181,44.64848056,2654,1,917.91,921.07,26.642,0.019,0,1130.1,921.1,,17Am05,,
250.81046667,44.542425,2654,1,801.09,2995.18,26.652,0.019,0,1246.9,2995.2,,17Am05,,
250.84340833,44.49340278,2654,1,1257.22,3945.1,26.656,0.019,0,790.8,3945.1,,17Am05,,
250.85665833,44.52094167,2654,1,1444.02,3406.95,26.659,0.019,0,604.0,3406.9,,17Am05,,
250.8162125,44.57317222,2654,1,883.7,2394.56,26.663,0.019,0,1164.3,2394.6,,17Am05,,
250.78014167,44.66156111,2654,1,390.79,671.0,26.665,0.019,0,1657.2,671.0,,17Am05,,
250.7970375,44.51061667,2654,1,611.43,3616.45,26.666,0.019,0,1436.6,3616.4,,17Am05,,
250.84080417,44.52624444,2654,1,1222.79,3306.02,26.666,0.019,0,825.2,3306.0,,17Am05,,
250.786425,44.513,2654,1,463.96,3571.42,26.668,0.019,0,1584.0,3571.4,,17Am05,,
250.7602375,44.613,2654,1,108.11,1624.93,26.672,0.019,0,1939.9,1624.9,,17Am05,,
